Africa    n.非洲
shiver    vi.颤抖，哆嗦
shock    n.冲击；震惊
shoe    n.鞋
shoemaker    n.鞋匠
shoestring    adj.小本经营的；微小的；像鞋带一样狭长的 n.鞋带；零星资本；小额资本
shoot    vt.发射；射中
shop    n.商店，店铺；车间
shopkeeper    n.店主
shopping    n.买东西，购物
shore    n.滨，岸
short    a.短的；短期的
shortage    n.短缺，不足额
shortcoming    n.短处，缺点
shortcut    n.近路，捷径
shorten    vt.弄短，缩小，减少
shortly    ad.立刻；简短地
should    v.aux.应该，竟然会
shoulder    vt.承担，挑起，肩负
shout    n.&vi.呼喊，喊叫
show    vt.给…看；表明
shower    vi.下阵雨
shut    vt.关上，闭上，关闭
shy    a.易受惊的；害羞的
sick    a.有病的；恶心的
sickness    n.疾病
side    n.边，旁边；一方
sigh    n.&vi.叹气，叹息
sight    n.情景，名胜，风景
sightseeing    n.观光，游览
sign    n.征兆，迹象，病症
signal    n.信号
signature    n.署名，签字，签名
significance    n.意义，意味；重要性
significant    a.有效的
silence    n.沉默
silent    a.沉默的；寂静无声的
silk    n.蚕丝，丝，丝织品
silly    a.傻的，愚蠢的
silver    n.银；银子；银器
similar    a.相似的，类似的
simple    a.单纯的；迟钝的
simplify    vt.简化，使单纯
simply    ad.简单地；朴素地
since    conj.从…以来；因为
sincere    a.真诚的；真挚的
sing    vi.&vt.唱，演唱
singer    n.歌唱家，歌手
single    a.单一的；独身的
singular    a.异常的，奇异的
sink    n.(厨房内的)洗涤槽
sir    n.先生，阁下；…爵士
sister    n.姐妹，姐，妹
sit    vi.坐，就坐
site    n.地点，地基；场所
situation    n.(建筑物等的)位置
six    num.六，六个
sixteen    num.十六，十六个
sixth    num.第六；六分之一
sixty    num.六十，六十个
size    n.大小；体积；尺码
skate    n.冰鞋；滑冰
sketch    n.略图；速写；概略
skill    n.技能，技巧；熟练
skilled    a.有技能的，熟练的
skillful    a.灵巧的，娴熟的
skim    vt.掠过，擦过；略读
skin    n.皮；兽皮；外皮
skirt    n.女裙；边缘；郊区
sky    n.天，天空
slack    a.萧条的；懈怠的
slash    v.猛砍；乱砍；鞭打；割伤；尖锐抨击；大幅减少 n.猛砍；斜线；长切口；衣衩；撒尿；沼泽地
slave    vi.作苦工
sleep    n.睡眠
sleepless    adj.无眠的；睡不着的；警觉的
sleepy    a.想睡的；寂静的
sleeve    n.袖子，袖套
slender    a.细长的；微薄的
slide    n.滑板，滑座
slight    a.细长的；轻微的
slightly    ad.稍微，有点
slip    vi.滑跤；滑落；溜
slipper    n.拖鞋，便鞋
slogan    n.标语，口号
slope    n.倾斜；斜面
slow    a.慢的；迟钝的
sluggish    adj.缓慢的；懒惰的；迟钝的；萧条的；无精打采的
slum    n.贫民窟，贫民区
slump    v.大幅度下跌；猛然瘫坐；使倒下 n.暴跌；低潮状态；(土地)下沉
small    a.小的，少的；小型的
smart    vi.刺疼，扎疼，剧痛
smell    n.嗅觉；气味
smile    vi.微笑
smog    n.烟雾
smoke    n.烟；抽烟
smoker    n.吸烟者；吸烟室（车厢）；（男人的）吸烟聚会
smoky    adj.烟雾弥漫的；冒烟的；呛人的
smooth    a.平滑的；平静的
smuggle    vt.私运
snake    n.蛇
snip    n.剪；剪口；剪下的小片；不知天高地厚的人；便宜货 v.剪；剪裁；剪短
snow    n.雪
snowstorm    n.雪暴，暴风雪
so    ad.这样；这么；非常
so-called    a.所谓的，号称的
soak    vt.浸，泡
soap    n.肥皂
soar    vi.翱翔；高飞；猛增；高涨；高耸 n.翱翔；高飞
sob    vi.&n.啜泣，呜咽
social    a.社会的；社交的
socialism    n.社会主义
socialist    a.社会主义的
society    n.社会；团体；社交界
sock    n.短袜
soda    n.碳酸钠，纯碱；汽水
sofa    n.长沙发，沙发
soft    a.软的；柔和的
software    n.(计算机的)软件
soil    vt.弄脏
solar    a.利用太阳光的
soldier    n.(陆军)士兵，军人
sole    a.单独的，唯一的
solemn    a.庄严的；隆重的
solid    a.固体的
solution    n.解决，解答；溶解
solve    vt.解答，解释，解决
solvent    n.溶剂；解决者 adj.有偿付能力的；有溶解力的
some    a.&pron.一些，若干
somebody    pron.某人，有人
somehow    ad.由于某种原因
someone    pron.某人，有人
something    pron.某事，某物
sometime    ad.在某一时候；从前
sometimes    ad.不时，有时
somewhat    pron.一点儿
somewhere    ad.在某处
son    n.儿子
song    n.歌唱；歌曲，歌词
soon    ad.不久；早，快
sop    n.贿赂；面包片；湿软食物；安慰物 v.浸透；泡；吸 abbr.SOP.
sore    a.痛的；恼火的
sorrow    n.悲痛，悲哀，悲伤
sorry    a.难过的；对不起的
sort    n.种类；类别
soul    n.灵魂；精神；人
sound    n.声音
soup    n.汤
sour    a.酸的；脾气坏的
source    n.河的源头；根源
south    n.南，南方
southeast    n.东南
southern    a.南方的，南部的
southwest    n.西南
souvenir    n.纪念品，黄豆
sow    vt.播(种)
space    n.空间；场地；空白
spacecraft    n.航天器，宇宙飞船
spade    n.铲，铁锹
span    n.(桥墩间的)墩距
spare    vt.节约
spark    n.火花，火星
speak    vi.说话；发言
speaker    n.说话者；扬声器
special    a.特殊的；专门的
specialist    n.专家
specialize    vt.使专门化，专业化
specific    a.特有的；具体的
specification    n.载明，详述；规格
specify    vi.指定，详细说明
specimen    n.抽样，样品
spectacle    n.场面；景象，奇观
speculation    n.推测；投机；沉思
speech    n.言语；演说；方言
speed    n.快；速率
spell    vt.拼写
spelling    n.拼字，拼法，拼写法
spend    vt.用钱，花费；度过
sphere    n.球，圆体；范围
spider    n.蜘蛛
spin    vt.纺；使旋转
spiral    a.螺旋(形)的，盘旋的
spirit    n.精神；气魄；情绪
spiritual    a.精神的，心灵的
spit    vi.吐
splendid    a.壮丽的；显著的
split    n.分裂，分化；派系
spoil    vt.损坏，糟蹋；宠坏
sponsor    n.发起者
spoon    n.匙，调羹
sport    n.运动；运动会
sportsman    n.运动员
spot    n.点，斑点；地点
spread    vt.伸开；传播
spring    n.春天，春季
springtime    n.春季，春天
spy    n.间谍，特务
square    n.正方形；广场
squeeze    n.压榨；榨取，佣金
stability    n.坚定
stable    n.厩，马厩，牛棚
stadium    n.露天大型运动场
staff    n.工作人员；参谋
stage    n.舞台；戏剧；阶段
stagnation    n.停滞
stain    vt.沾污；给…着色
stainless    a.纯洁的；不锈的
stair    n.楼梯
stake    n.桩；赌金；奖品
stale    n.陈腐的；走了气的
stamp    n.戳子；邮票；标志
stand    vi.站；坐落
standard    n.标准
standpoint    n.立场，观点
star    n.星；恒星；明星
stare    vi.盯，凝视
start    vt.开动，着手；开设
starve    vi.饿死
state    vt.陈述，说明，阐明
statement    n.陈述，声明
statesman    n.政治家，国务活动家
station    n.站，台，所，局
statistical    a.统计的，统计学的
statistics    n.统计，统计数字
statue    n.塑像，雕像，铸像
status    n.地位，身分
stay    vi.停留；住
stead    n.代替；用处 v.有利于
steady    a.坚定的，扎实的
steak    n.大块牛肉；牛排
steal    vt.偷偷地做，巧取
steam    n.蒸汽
steamer    n.轮船，汽船
steel    n.钢，钢铁
steep    a.险峻的，陡峭的
steer    vt.&vi.驾驶
stem    n.词干；(手表的)转柄
step    n.(脚)步；步骤
steward    n.乘务员，服务员
stewardess    n.空中小姐，女乘务员
stick    n.棍，棒
stiff    a.生硬的
still    a.静止的
stimulate    vt.刺激，激励，激发
stir    vt.动；拨动；激动
stock    n.原料；库存品；股本
stockbroker    n.股票经纪人
stockholder    n.股东
stockholding    n.股金；股份
stocking    n.长(统)袜
stockjobber    n.股票投机商；证券批发商
stockpile    n.贮藏堆；积蓄 v.储备；储存
stocktaking    n.存货盘点；盘货；估计；反思
stomach    n.胃；肚子；食欲
stomach-ache    n.胃痛；肚子痛
stone    n.果核，(水果的)硬核
stool    n.凳子
stop    vt.塞住；阻止；停止
storage    n.贮藏，保管；仓库
store    n.贮藏；贮存品；商店
storey    n.(层)楼
storm    n.爆发
story    n.故事，小说，传说
stove    n.炉，火炉，电炉
straight    a.直的；正直的
strain    vt.拉紧
strange    a.外地的，异乡的
stranger    n.陌生人；新来者
strategy    n.战略；策略
straw    n.稻草，麦杆吸管
stream    n.河；流
streamline    n.流线；流线型
street    n.街，街道；行车道
strength    n.兵力；强度
strengthen    vt.加强，巩固
stress    n.压力；重音
stretch    vt.伸展
strict    a.严格的；严谨的
strike    vt.&vi.打，击
stroke    vt.&n.抚，摩，捋
strong    a.强壮的；擅长的
structure    n.结构；构造
struggle    n.&vi.斗争，奋斗
student    n.学生；研究生，学者
study    n.学习，研究
stuff    n.材料
stupid    a.愚蠢的；感觉迟钝的
style    n.风格；文体；式样
subcontract    n.对象；分契；转包合同
subject    vt.使隶属
subjective    adj.主观的
sublet    v.转租 n.转租的房屋
submarine    a.水下的
submit    vt.使服从
subordinate    a.下级的，辅助的
subsequent    a.尔后的
subsidy    n.津贴；补助金
substance    n.财产；内容，本旨
substitute    n.代替人
subtract    vt.减，减去，去掉
suburb    n.郊区，郊外，近郊
subway    n.地道；地下铁路
succeed    vt.继…之后
success    n.成功，成就，胜利
successful    a.成功的，结果良好的
succession    n.继承(权)，后裔
successive    a.连续的；接连的
successor    n.继承人，继任者
such    a.这样的；如此的…
suck    vt.吸，吮，啜；吸收
sudden    a.突然的，意外的
suddenly    ad.突然地
suffer    vt.遭受；忍受；容许
suffering    n.痛苦；受难
sufficient    a.足够的，充分的
sugar    n.糖
suggest    vt.建议；暗示，启发
suggestion    n.建议，意见；暗示
suicide    n.&vi.&vt.自杀
suit    vt.使配合vi.彼此协调
suitable    a.合适的；适宜的
suitcase    n.小提箱，衣箱
sum    n.总数；金额
summarize    vt.概括，概述，总结
summary    a.概括的；速决的
summer    n.夏，夏季
sun    n.太阳，日
sunbath    n.日光浴
sunbathe    v.晒日光浴
sundown    n.日落时分
sunglasses    n.墨镜；太阳镜
sunlight    n.日光，阳光
sunny    a.阳光充足的；快活的
sunrise    n.日出(时分)
sunset    n.日落(时分)
sunshine    n.(直射)日光，阳光
super    a.极好的，超级的
superficial    a.表面的；肤浅的
superior    a.较高的；优越的
superiority    n.优越(性)，优势
supermarket    n.超级市场
supervise    vt.&vi.监督，监视
supper    n.晚饭，晚餐
supplement    n.补角
supply    vt.&n.供给，供应
support    vt.经受，承受，忍受
supporter    n.支持者；拥护者；支撑物
suppose    vt.猜想；假定；让
supreme    a.最高的；最大的
sure    a.确信的；确实的
surface    n.地面，表面；外表
surgeon    n.外科医师；军医
surgery    n.外科，外科手术
surname    n.姓
surpass    vt.超过，超越，胜过
surplus    n.过剩，剩余(物资)
surprise    vt.使惊奇；突然袭击
surprising    a.惊人的；出人意外的
surrender    vt.交出
surround    vt.围，围绕，圈住
surroundings    n.周围的事物，环境
survey    vt.俯瞰；检查；测量
survive    vt.幸免于
suspect    vt.怀疑
suspicion    n.怀疑，疑心，猜疑
swallow    vt.&vi.吞下，咽下
swear    vt.宣(誓)
sweat    n.汗
sweater    n.厚运动衫，毛线衫
sweep    vt.扫；刮起；扫过
sweet    a.甜的；愉快的
swell    vi.&vt.使膨胀，隆起
swift    a.快的；反应快的
swim    vi.游，游泳；眼花
swimmer    n.游泳者
swing    vi.摇摆；回转
switch    n.(树木的)软枝条
sword    n.剑，刀
syllable    n.音节 vt.分音节
symbol    n.象征；符号，记号
sympathetic    a.同情的；和谐的
sympathize    vi.同情；同感，共鸣
sympathy    n.同情；一致，同感
symptom    n.症状，征候，征兆
synthetic    a.综合的；合成的
system    n.系统，体系；制度
table    n.桌子；餐桌；项目表
tablet    n.碑，匾；药片
tag    n.附加语；标签
tail    n.尾巴；末尾部分
tailor    n.裁缝
take    vt.拿；抓；拿走；吃
takeoff    n.起飞；模仿；起跳
takeover    n.收购；接管
tale    n.故事，传说
talent    n.天才；才能；人才
talk    vi.讲话
tall    n.高的，身材高的
tame    a.驯服的；顺从的
tank    n.坦克；大容器，槽
tap    n.塞子；龙头
tape    vt.系，捆
target    n.靶，标的；目标
tariff    n.关税；价目表 vt.交关税
task    n.任务，工作，作业
taste    vt.尝；尝到
tax    n.税，税款；负担
taxation    n.课税；征税；税金
taxi    n.出租汽车
taxpayer    n.纳税人
tea    n.茶；茶叶；茶树
teach    vt.讲；教育
teacher    n.教师，老师，先生
teaching    n.教学，讲授；教导
team    vi.协作，合作
teamwork    n.合作；协同工作
tear    vt.撕开，撕裂
technical    a.技术的，工艺的
technician    n.技术员，技师
technique    n.技术，技巧；技能
technology    n.工艺学，工艺，技术
tedious    a.冗长乏味的，沉闷的
teenager    n.青少年
telegram    n.电报
telegraph    n.电报机；电报
telephone    n.电话
telescope    n.望远镜
television    n.电视；电视机
tell    vt.讲述；吩咐；辨别
teller    n.出纳员；叙述者；计票人
temper    n.韧度；心情，情绪
temperature    n.温度；体温
temple    n.圣堂，神殿，庙宇
temporary    a.暂时的，临时的
tempt    vt.引诱，诱惑，劝诱
temptation    n.诱惑，引诱
ten    num.十，十个
tend    vi.走向，趋向；倾向
tendency    n.趋向，趋势，倾向
tender    a.嫩的；脆弱的
tenderer    n.投标人
tennis    n.网球，网球运动
tense    a.拉紧的，绷紧的
tension    n.紧张；拉力；张力；紧张状态；[电]电压 vt.使拉紧；使绷紧
tent    n.帐篷
tenth    num.第十；十分之一
term    n.期；学期；条件；词
terrible    a.可怕的；极度的
terrific    a.可怕的；极大的
territory    n.领土，版图；领域
terror    n.恐怖，惊骇
test    n.&vt.试验；检验
text    n.原文，本文；课文
textbook    n.课本，教科书
textile    n.纺织品
than    conj.(比较级)比
thank    vt.谢谢，感谢
that    a.那
the    art.(定冠词)这，那
theater    n.剧场；电影院；戏院 adj.战区的
theatre    n.戏剧效果
their    pron.他(她、它)们的
theirs    pron.他(她)们的东西
them    pron.(宾格)他们
theme    n.题目；词干；主旋律
themselves    pron.他们自己
then    ad.当时；然后；那么
theory    n.见解，看法，推测
there    ad.在那里；在那点上
therefore    ad.因此，所以
thermometer    n.温度计，寒暑表
these    a.&pron.这些
they    pron.(主格)他(她)们
thick    a.厚的；密的；浓
thief    n.窃贼，偷窃犯
thin    a.薄的；淡的
thing    n.物；用品；事；情况
think    vt.想；想要；认为
thinking    n.思考；思想 adj.好思考的；有理性的
third    num.第三；三分之一
thirst    n.渴，口渴；渴望
thirsty    a.渴的；渴望的
thirteen    num.十三，十三个
thirty    num.三十，三十个
this    a.这；今
thorough    a.精心的；详尽的
those    pron.那些
though    conj.虽然
thought    n.思想；思维；想法
thoughtful    a.沉思的；体贴的
thousand    num.千，千个
thread    n.线；丝；螺纹；头绪
threat    n.威胁，恐吓，凶兆
threaten    vt.&vi.威胁，恐吓
three    num.三，三个
thrift    n.节俭；节约
thrive    vi.兴旺，繁荣，旺盛
throat    n.咽喉，喉咙；嗓音
through    prep.因为，由于
throughout    prep.遍及
throw    vt.投，掷，抛，扔
thumb    n.(大)拇指
thunder    n.雷
thus    ad.如此，这样；因而
tick    n.滴答声；记号
ticket    n.(交通违章)罚款传票
tide    n.潮，潮汐；潮流
tidy    a.整洁的；整齐的
tie    n.领带；联系
tie-in-sale    n.搭配销售；搭卖
tiger    n.虎
tight    a.紧的；紧身的
till    prep.conj.直到…为止
timber    n.木材，木料
time    n.时间；时机；次，回
timely    a.及时的；适时的
timetable    n.时间表，时刻表
timid    a.胆怯的；羞怯的
timing    n.时间的掌握；时间的安排；时机；定时
tin    n.锡；罐头
tiny    a.微小的，极小的
tip    vt.轻击
tire    vi.疲劳，累；厌倦
tired    a.疲劳的；厌倦的
tiresome    a.使人厌倦的，讨厌的
tissue    n.薄绢；薄纸；组织
title    n.标题，题目；称号
to    prep.到，向，达到
toast    n.祝酒；祝酒词
tobacco    n.烟草，烟叶
today    ad.在今天；现在
toe    n.脚趾，足尖
together    ad.共同，一起
toilet    n.厕所，盥洗室，浴室
tolerance    n.忍受，容忍；公差
tolerate    vt.忍受，容忍，宽恕
toll    n.伤亡人数；钟声；通行费；代价 v.敲钟
tomato    n.番茄，西红柿
tomb    n.坟，冢
tomorrow    ad.在明天
ton    n.吨；大量
tone    n.色调，光度；风气
tongue    n.舌，舌头；语言
tonight    ad.在今夜
too    ad.也，还；太，过分
tool    n.工具，器具，用具
tooth    n.牙齿
top    n.顶；首位
topic    n.题目，论题，话题
torch    n.火炬，火把；手电筒
tortoise    n.龟，乌龟
torture    n.拷问；折磨
total    a.总的
touch    vt.触摸；触动
tough    a.坚韧的；健壮的
tour    n.&vi.旅行，游历
tourist    n.旅游者，观光者
tout    v.兜售；高价卖；刺探；吹捧 n.贩子
toward    prep.向；朝；对于；接近；关于；将近 adj.有希望的；有利的；逼近的
towards    prep.为了，有助于
towel    n.毛巾，手巾
tower    vi.高耸，屹立；翱翔
town    n.镇，市镇，城镇
toy    n.玩具，玩物
trace    n.痕迹；丝毫
track    vi.留下足迹
tractor    n.拖拉机；牵引车
trade    vi.做买卖；交换
tradition    n.传统，惯例
traditional    a.传统的，惯例的
traditionary    adj.传说的；传统的；惯例的
traffic    n.交通，通行；交通量
tragedy    n.悲剧；惨事，惨案
tragic    a.悲剧性的，悲惨的
train    vt.培养
training    n.训练，锻炼，培养
transact    v.办理；交易；谈判；进行
transaction    n.处理；交易；和解
transfer    vt.转移；调动vi.转移
transform    vt.变压；变换
transformation    n.变化；改造；转变
transistor    n.晶体管
translate    vt.翻译，译
translation    n.翻译；译文，译本
transmit    vt.传送，传达；发射
transparent    a.透明的；易识破的
transport    vt.运输
transportation    n.运输，运送，客运
trap    n.陷阱；诡计
travel    vi.&vi.&n.旅行
treasure    n.财富；珍宝
treat    vt.对待；处理
treatment    n.待遇；治疗，疗法
